,DC,DC,VA,VA,MD,MD
,Lat,Long,Lat,Long,Lat,Long
5th & Kennedy St NW,38.956504,-77.0095655714286,,,,
1st & N St  SE,38.8742997,-77.0057,,,,
New Hampshire Ave & 24th St NW,,,,,,
22nd St & Constitution Ave NW,38.8924483,-77.0489491,,,,
20th & E St NW,38.8963209,-77.045018,,,,
N Randolph St & Fairfax Dr,,,38.8826287,-77.109366,,
4th & East Capitol St NE,38.8899547,-77.000349,,,,
12th St & Pennsylvania Ave SE,38.8789648,-76.9816219,,,,
John McCormack Dr & Michigan Ave NE,38.9345997,-76.9955,,,,
Maryland Ave & E St NE,,,,,39.0381211,-76.9035303
Georgetown Harbor / 30th St NW,38.9022207,-77.059219,,,,
47th & Elm St,,,,,,
22nd & P ST NW,,,,,,
N Rhodes & 16th St N,,,38.8921637,-77.079375,,
3rd St & Pennsylvania Ave SE,38.8789648,-76.9816219,,,,
Good Hope Rd & 14th St SE,38.8666107,-76.985238,,,,
14th & Irving St NW,38.931099375,-77.01007325,,,,
3000 Connecticut Ave NW / National Zoo,38.9302817,-77.055599,,,,
3rd & G St SE,38.8811847,-77.001828,,,,
New York Ave & 15th St NW,38.8990997,-77.0337,,,,
N Quincy St & Glebe Rd,,,38.8763927,-77.107735,,
20th & Crystal Dr,,,38.8563997,-77.0492,,
US Dept of State / Virginia Ave & 21st St NW,,,,,,
25th St & Pennsylvania Ave NW,38.9038267,-77.053485,,,,
14th & D St SE,38.8839997,-76.9861,,,,
Army Navy Dr & S Nash St,,,,,,
24th & N St NW,38.9065997,-77.05152,,,,
N Veitch  & 20th St N,,,38.8969227,-77.086502,,
Washington Blvd & 10th St N,,,38.8847337,-77.093485,,
15th & F St NE,38.8972214,-77.0048152,,,,
Vermont Ave & I St NW,,,,,,
12th & Irving St NE,38.9314152,-77.0047897,,,,
Connecticut & Nebraska Ave NW,38.9550753,-77.0699589,,,,
4th & C St SW,38.8861190874656,-77.0092815000446,,,,
Lee Hwy & N Cleveland St,,,,,,
Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.8841284,-77.0465583,,,,
Columbia Rd & Georgia Ave NW,38.9281557,-77.02344,,,,
